Word,FED_18_C.txt,FED_19_C.txt,FED_20_C.txt,FED_49_D.txt,FED_50_D.txt,FED_51_D.txt,FED_52_D.txt,FED_53_D.txt,FED_54_D.txt,FED_55_D.txt,FED_56_D.txt,FED_57_D.txt,FED_58_D.txt,FED_62_D.txt,FED_63_D.txt,FED_11_H.txt,FED_12_H.txt,FED_13_H.txt,FED_15_H.txt,FED_16_H.txt,FED_17_H.txt,FED_1_H.txt,FED_21_H.txt,FED_22_H.txt,FED_23_H.txt,FED_24_H.txt,FED_25_H.txt,FED_26_H.txt,FED_27_H.txt,FED_28_H.txt,FED_29_H.txt,FED_30_H.txt,FED_31_H.txt,FED_32_H.txt,FED_33_H.txt,FED_34_H.txt,FED_35_H.txt,FED_36_H.txt,FED_59_H.txt,FED_60_H.txt,FED_61_H.txt,FED_65_H.txt,FED_66_H.txt,FED_67_H.txt,FED_68_H.txt,FED_69_H.txt,FED_6_H.txt,FED_70_H.txt,FED_71_H.txt,FED_72_H.txt,FED_73_H.txt,FED_74_H.txt,FED_75_H.txt,FED_76_H.txt,FED_77_H.txt,FED_78_H.txt,FED_79_H.txt,FED_7_H.txt,FED_80_H.txt,FED_81_H.txt,FED_82_H.txt,FED_83_H.txt,FED_84_H.txt,FED_85_H.txt,FED_8_H.txt,FED_9_H.txt,FED_2_J.txt,FED_3_J.txt,FED_4_J.txt,FED_5_J.txt,FED_64_J.txt,FED_10_M.txt,FED_14_M.txt,FED_37_M.txt,FED_38_M.txt,FED_39_M.txt,FED_40_M.txt,FED_41_M.txt,FED_42_M.txt,FED_43_M.txt,FED_44_M.txt,FED_45_M.txt,FED_46_M.txt,FED_47_M.txt,FED_48_M.txt,
all,8,5,7,6,5,12,3,9,10,4,9,7,14,11,10,13,6,3,21,9,12,9,3,12,10,8,7,8,4,15,4,5,9,6,8,6,7,11,3,10,2,4,8,4,9,18,5,7,2,4,8,1,7,5,10,7,2,12,19,13,7,28,14,13,9,8,4,4,4,4,8,4,6,10,8,13,11,17,9,13,20,8,5,12,12
causes,0,1,1,0,0,0,0,1,0,0,0,1,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,4,8,15,9,23,0,0,2,0,0,8,4,1,0,6,0,1,0,0,0,1,0,0,0,1,1,0,0
whose,0,1,1,1,0,1,2,1,0,2,1,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,4,1,1,0,0,2,2,6,1,2,2,5,0,1,1,0,1,2,1,3,0,3,0,0,0,1,1,0,0,0,1,1,1,0,1,5,1,0,2,0,2,0,1,0,1,2,0,1,0
to,54,59,42,58,28,50,72,73,61,78,39,74,61,80,88,83,82,43,117,89,58,72,55,145,97,91,90,95,63,66,112,76,82,47,67,107,101,120,73,87,61,85,84,84,76,102,58,120,78,99,83,36,91,96,72,128,42,82,114,163,83,219,140,115,80,71,53,56,51,45,88,100,72,85,117,91,120,119,93,112,81,66,86,65,54
those,5,0,1,1,1,3,4,5,6,0,4,5,4,5,5,7,3,0,10,10,9,9,9,13,4,2,6,5,4,4,4,5,9,1,6,10,9,9,5,8,4,6,6,4,4,5,7,9,3,1,6,3,4,7,1,10,0,8,15,12,6,13,9,9,6,6,2,6,4,9,15,4,13,4,3,1,7,6,6,5,4,8,6,1,4
under,5,3,3,2,3,4,10,1,4,5,1,2,4,2,3,3,2,2,4,2,2,3,1,4,4,2,5,2,0,3,4,0,0,2,3,2,3,7,3,2,3,1,2,1,3,3,0,4,2,2,3,0,5,7,1,3,1,5,11,5,2,10,17,3,5,2,2,7,4,2,5,6,3,4,5,7,8,4,10,5,6,7,2,4,2
appointment,0,1,2,1,0,1,0,0,2,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,1,2,4,4,6,0,1,0,1,1,0,1,8,9,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,1,2,4,0,1,0,0,2,0,8,0
very,3,1,2,2,3,4,6,9,6,7,10,7,2,0,3,1,2,1,1,2,0,0,0,1,1,0,1,3,2,0,3,2,0,1,3,2,1,1,1,1,0,0,2,0,0,1,1,1,6,2,5,0,4,1,1,2,1,0,0,3,0,2,3,2,2,3,7,0,0,1,5,0,0,6,3,1,2,5,7,2,2,8,4,3,2
every,0,2,1,5,2,3,5,4,1,12,7,13,8,11,6,3,4,3,8,1,1,3,3,8,4,1,1,4,0,0,0,8,5,2,4,2,5,3,8,2,1,3,3,0,2,5,1,3,3,3,4,2,1,6,1,7,2,1,2,10,4,12,6,9,3,2,2,0,0,0,3,3,1,4,3,6,8,14,7,9,13,5,6,4,3
governments,0,0,2,3,0,3,2,0,0,0,0,2,1,7,6,0,1,1,1,3,8,0,2,1,3,0,2,0,2,5,0,3,7,3,3,4,0,3,4,1,2,1,2,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,4,2,0,1,1,1,2,0,1,4,1,0,4,5,1,2,2,2,0,0,5,1,13,27,1,1
force,1,3,1,1,1,0,0,0,1,2,2,0,2,0,2,3,0,1,1,4,2,1,2,2,0,2,4,7,5,9,3,1,1,0,0,0,1,0,1,3,2,0,0,1,1,0,0,0,0,1,0,1,2,0,0,1,0,2,0,3,1,3,0,1,2,3,0,0,1,0,1,1,1,1,1,1,0,3,0,6,2,0,3,1,0
